name,Year,totalIncome,profit,employeeCount,netPayCosts,averagePay
International Bridge,2016,0,0,0,0,0.0
International Bridge,2015,0,0,0,0,0.0
Alicorn,2024,0,0,0,0,0.0
Alicorn,2023,0,0,0,0,0.0
Alicorn,2022,0,0,0,0,0.0
Alicorn,2021,0,0,0,0,0.0
Alicorn,2020,0,0,0,0,0.0
Alicorn,2019,0,0,0,0,0.0
Alicorn,2018,0,0,0,0,0.0
Alicorn,2017,0,0,0,0,0.0
Codingo,2024,0,0,0,0,0.0
Codingo,2023,0,0,0,0,0.0
Codingo,2022,0,0,0,0,0.0
Codingo,2021,0,0,0,0,0.0
Codingo,2020,0,0,0,0,0.0
Codingo,2019,0,0,0,0,0.0
Codingo,2018,0,0,0,0,0.0
Codingo,2017,0,0,0,0,0.0
Codingo,2016,0,0,0,0,0.0
Codingo,2015,0,0,0,0,0.0
First Line Software,2024,0,0,0,0,0.0
First Line Software,2023,0,0,0,0,0.0
First Line Software,2022,0,0,0,0,0.0
Ridgemax,2023,0,0,0,0,0.0
Ridgemax,2022,0,0,0,0,0.0
Ridgemax,2021,0,0,0,0,0.0
Ridgemax,2020,0,0,0,0,0.0
Ridgemax,2019,0,0,0,0,0.0
Ridgemax,2018,0,0,0,0,0.0
Ridgemax,2017,0,0,0,0,0.0
GoldBear Technologies,2024,0,0,0,0,0.0
GoldBear Technologies,2023,0,0,0,0,0.0
GoldBear Technologies,2022,0,0,0,0,0.0
GoldBear Technologies,2021,0,0,0,0,0.0
Cikom,2024,0,0,0,0,0.0
Cikom,2023,0,0,0,0,0.0
Cikom,2022,0,0,0,0,0.0
Cikom,2021,0,0,0,0,0.0
Cikom,2020,0,0,0,0,0.0
Cikom,2019,0,0,0,0,0.0
Cikom,2018,0,0,0,0,0.0
Cikom,2017,0,0,0,0,0.0
Cikom,2016,0,0,0,0,0.0
Cikom,2015,0,0,0,0,0.0
Cikom,2014,0,0,0,0,0.0
Infinum,2024,0,0,0,0,0.0
Infinum,2023,0,0,0,0,0.0
Infinum,2022,0,0,0,0,0.0
Infinum,2021,0,0,0,0,0.0
Winsoft,2024,0,0,0,0,0.0
Winsoft,2023,0,0,0,0,0.0
Winsoft,2022,0,0,0,0,0.0
Winsoft,2021,0,0,0,0,0.0
Winsoft,2020,0,0,0,0,0.0
Winsoft,2019,0,0,0,0,0.0
Winsoft,2018,0,0,0,0,0.0
Winsoft,2017,0,0,0,0,0.0
Winsoft,2016,0,0,0,0,0.0
Winsoft,2015,0,0,0,0,0.0
Winsoft,2014,0,0,0,0,0.0
G5 Entertainment,2024,0,0,0,0,0.0
G5 Entertainment,2023,0,0,0,0,0.0
G5 Entertainment,2022,0,0,0,0,0.0
Customertimes Montenegro,2024,0,0,0,0,0.0
Customertimes Montenegro,2023,0,0,0,0,0.0
Customertimes Montenegro,2022,0,0,0,0,0.0
Codepixel,2024,0,0,0,0,0.0
Codepixel,2023,0,0,0,0,0.0
Codepixel,2022,0,0,0,0,0.0
Codepixel,2021,0,0,0,0,0.0
Codepixel,2020,0,0,0,0,0.0
Codepixel,2019,0,0,0,0,0.0
Codepixel,2018,0,0,0,0,0.0
SynergySuite,2024,0,0,0,0,0.0
SynergySuite,2023,0,0,0,0,0.0
SynergySuite,2022,0,0,0,0,0.0
SynergySuite,2021,0,0,0,0,0.0
SynergySuite,2020,0,0,0,0,0.0
SynergySuite,2019,0,0,0,0,0.0
SynergySuite,2018,0,0,0,0,0.0
SynergySuite,2017,0,0,0,0,0.0
Fleka,2024,0,0,0,0,0.0
Fleka,2023,0,0,0,0,0.0
Fleka,2022,0,0,0,0,0.0
Fleka,2021,0,0,0,0,0.0
Fleka,2020,0,0,0,0,0.0
Fleka,2019,0,0,0,0,0.0
Fleka,2018,0,0,0,0,0.0
Fleka,2017,0,0,0,0,0.0
Fleka,2016,0,0,0,0,0.0
Fleka,2015,0,0,0,0,0.0
Fleka,2014,0,0,0,0,0.0
Codemine,2025,0,0,0,0,0.0
Codemine,2024,0,0,0,0,0.0
Codemine,2023,0,0,0,0,0.0
Codemine,2022,0,0,0,0,0.0
Media Monkeys,2024,0,0,0,0,0.0
Media Monkeys,2023,0,0,0,0,0.0
Media Monkeys,2022,0,0,0,0,0.0
Media Monkeys,2021,0,0,0,0,0.0
Media Monkeys,2020,0,0,0,0,0.0
Media Monkeys,2019,0,0,0,0,0.0
Media Monkeys,2018,0,0,0,0,0.0
Media Monkeys,2017,0,0,0,0,0.0
Media Monkeys,2016,0,0,0,0,0.0
Media Monkeys,2015,0,0,0,0,0.0
Media Monkeys,2014,0,0,0,0,0.0
Arctic 7,2024,0,0,0,0,0.0
Arctic 7,2023,0,0,0,0,0.0
Arctic 7,2022,0,0,0,0,0.0
FSTR,2024,0,0,0,0,0.0
FSTR,2023,0,0,0,0,0.0
FSTR,2022,0,0,0,0,0.0
Playrix,2024,0,0,0,0,0.0
Playrix,2023,0,0,0,0,0.0
Playrix,2022,0,0,0,0,0.0
EPAM,2024,0,0,0,0,0.0
EPAM,2023,0,0,0,0,0.0
EPAM,2022,0,0,0,0,0.0
EPAM,2021,0,0,0,0,0.0
Datum Solutions,2024,0,0,0,0,0.0
Datum Solutions,2023,0,0,0,0,0.0
Datum Solutions,2022,0,0,0,0,0.0
Datum Solutions,2021,0,0,0,0,0.0
Datum Solutions,2020,0,0,0,0,0.0
Datum Solutions,2019,0,0,0,0,0.0
Datum Solutions,2018,0,0,0,0,0.0
Datum Solutions,2017,0,0,0,0,0.0
Datum Solutions,2016,0,0,0,0,0.0
Datum Solutions,2015,0,0,0,0,0.0
Tungsten Montenegro,2024,0,0,0,0,0.0
Tungsten Montenegro,2023,0,0,0,0,0.0
Tungsten Montenegro,2022,0,0,0,0,0.0
Quantox Technology,2024,0,0,0,0,0.0
Quantox Technology,2023,0,0,0,0,0.0
Quantox Technology,2022,0,0,0,0,0.0
Quantox Technology,2021,0,0,0,0,0.0
Belka,2024,0,0,0,0,0.0
Belka,2023,0,0,0,0,0.0
Belka,2022,0,0,0,0,0.0
Domen,2024,0,0,0,0,0.0
Domen,2023,0,0,0,0,0.0
Domen,2022,0,0,0,0,0.0
Domen,2021,0,0,0,0,0.0
Domen,2020,0,0,0,0,0.0
Domen,2019,0,0,0,0,0.0
Domen,2018,0,0,0,0,0.0
Domen,2017,0,0,0,0,0.0
Domen,2016,0,0,0,0,0.0
Domen,2015,0,0,0,0,0.0
Domen,2014,0,0,0,0,0.0
Coinis,2024,0,0,0,0,0.0
Coinis,2023,0,0,0,0,0.0
Coinis,2022,0,0,0,0,0.0
Coinis,2021,0,0,0,0,0.0
Coinis,2020,0,0,0,0,0.0
Coinis,2019,0,0,0,0,0.0
Coinis,2018,0,0,0,0,0.0
Coinis,2017,0,0,0,0,0.0
Coinis,2016,0,0,0,0,0.0
Coinis,2015,0,0,0,0,0.0
Coinis,2014,0,0,0,0,0.0
